date,sn,temperature,ph,ammonia,chloride
"2019-04-02 00:00:00",18013581,25.06,7.01,0.03,110.221
"2019-04-02 00:30:00",18013581,25.19,7.14,0.04,107.844
"2019-04-02 01:00:00",18013581,25.28,7.02,0.04,97.467
"2019-04-02 01:30:00",18013581,25.38,7.13,0.04,107.549
"2019-04-02 02:00:00",18013581,25.43,7,0.03,84.132
"2019-04-02 02:30:00",18013581,25.51,7.13,0.04,111.357
"2019-04-02 03:00:00",18013581,25.55,7.01,0.04,119.146
"2019-04-02 03:30:00",18013581,25.61,7.11,0.03,91.892
"2019-04-02 04:00:00",18013581,25.63,6.99,0.03,116.443
"2019-04-02 04:30:00",18013581,25.67,7.12,0.04,108.122
"2019-04-02 05:00:00",18013581,25.69,6.99,0.04,112.646
"2019-04-02 05:30:00",18013581,25.72,7.12,0.04,112.292
"2019-04-02 06:00:00",18013581,25.72,6.99,0.04,115.232
"2019-04-02 06:30:00",18013581,25.75,7.12,0.04,93.398
"2019-04-02 07:00:00",18013581,25.75,6.98,0.04,93.603
"2019-04-02 07:30:00",18013581,25.78,7.12,0.04,108.221
"2019-04-02 08:00:00",18013581,25.79,7,0.03,116.244
"2019-04-02 08:30:00",18013581,25.7,7.07,0.04,84.112
"2019-04-02 11:00:00",18013581,25.51,8.39,0.21,88.756
"2019-04-02 09:30:00",18013581,27.14,8.73,0.18,86.488
"2019-04-02 10:30:00",18013581,25.98,8.63,0.18,90.461
"2019-04-02 09:00:00",18013581,27.46,8.84,0.27,81.629
"2019-04-02 11:30:00",18013581,25.12,8.58,0.25,83.326
"2019-04-02 10:00:00",18013581,26.47,8.44,0.24,118.344
"2019-04-02 12:00:00",18013581,24.8,8.34,0.33,84.043
"2019-04-02 12:30:00",18013581,24.54,8.54,0.24,89.945
"2019-04-02 13:00:00",18013581,24.31,8.33,0.27,100.637
"2019-04-02 13:30:00",18013581,24.14,8.52,0.28,112.826
"2019-04-02 14:00:00",18013581,24,8.27,0.37,87.063
"2019-04-02 14:30:00",18013581,23.92,8.5,0.24,104.414
"2019-04-02 15:00:00",18013581,23.86,8.3,0.28,119.741
"2019-04-02 15:30:00",18013581,23.81,8.47,0.25,105.5
"2019-04-02 16:00:00",18013581,23.79,8.24,0.34,113.818
"2019-04-02 16:30:00",18013581,23.89,8.43,0.21,119.078
"2019-04-02 17:00:00",18013581,24.08,8.25,0.23,86.21
"2019-04-02 17:30:00",18013581,24.23,8.41,0.22,116.316
"2019-04-02 18:00:00",18013581,24.44,8.19,0.29,93.868
"2019-04-02 18:30:00",18013581,24.63,8.36,0.17,95.162
"2019-04-02 19:00:00",18013581,24.82,8.16,0.2,107.696
"2019-04-02 19:30:00",18013581,24.99,8.28,0.16,101.053
"2019-04-02 20:00:00",18013581,25.16,8.09,0.22,98.897
"2019-04-02 20:30:00",18013581,25.31,8.19,0.13,108.546
"2019-04-02 21:00:00",18013581,25.45,7.94,0.12,95.015
"2019-04-02 21:30:00",18013581,25.56,8.13,0.12,94.892
"2019-04-02 22:00:00",18013581,25.68,7.86,0.15,91.169
"2019-04-02 22:30:00",18013581,25.76,8.17,0.13,102.05
"2019-04-02 23:00:00",18013581,25.85,7.86,0.11,115.534
"2019-04-02 23:30:00",18013581,25.91,8.17,0.14,112.53
"2019-04-03 00:00:00",18013581,25.97,8,0.2,96.329
"2019-04-03 00:30:00",18013581,26.01,8.16,0.13,88.888
"2019-04-03 01:00:00",18013581,26.05,8.01,0.16,86.963
"2019-04-03 01:30:00",18013581,26.08,8.15,0.14,97
"2019-04-03 02:00:00",18013581,26.1,7.95,0.19,120.128
"2019-04-03 02:30:00",18013581,26.12,8.12,0.13,104.88
"2019-04-03 03:00:00",18013581,26.13,7.91,0.13,118.587
"2019-04-03 03:30:00",18013581,26.13,8.07,0.12,100.602
"2019-04-03 04:00:00",18013581,26.14,7.87,0.18,83.654
